,mol_path,group,msg
2671,/home/shachar/repos/PorCrystalStructures/data/raw_xyz/xyz/porphyrins/LUMRES_0.xyz,topolocial,NOT_CONNECTED_MOLECULE
2672,/home/shachar/repos/PorCrystalStructures/data/raw_xyz/xyz/porphyrins/LUMRES_1.xyz,metal,NO_METAL
2673,/home/shachar/repos/PorCrystalStructures/data/raw_xyz/xyz/porphyrins/LUPSUM_0.xyz,charge,MOL_ODD_NUMBER_OF_ELECTRONS
2674,/home/shachar/repos/PorCrystalStructures/data/raw_xyz/xyz/porphyrins/LUPVOI_0.xyz,topolocial,PYRROLE_NOT_BOUND_TO_METAL
2675,/home/shachar/repos/PorCrystalStructures/data/raw_xyz/xyz/porphyrins/LUPWAV_0.xyz,topolocial,NOT_CONNECTED_MOLECULE
2676,/home/shachar/repos/PorCrystalStructures/data/raw_xyz/xyz/porphyrins/LUPWAV_1.xyz,metal,NO_METAL
2677,/home/shachar/repos/PorCrystalStructures/data/raw_xyz/xyz/porphyrins/LUPWEZ_0.xyz,topolocial,NOT_CONNECTED_MOLECULE
2678,/home/shachar/repos/PorCrystalStructures/data/raw_xyz/xyz/porphyrins/LUPWEZ_1.xyz,metal,NO_METAL
2679,/home/shachar/repos/PorCrystalStructures/data/raw_xyz/xyz/porphyrins/LURKAL_0.xyz,topolocial,NOT_CONNECTED_MOLECULE
2680,/home/shachar/repos/PorCrystalStructures/data/raw_xyz/xyz/porphyrins/LURKAL_1.xyz,metal,NO_METAL
2681,/home/shachar/repos/PorCrystalStructures/data/raw_xyz/xyz/porphyrins/LUTQAV_0.xyz,charge,MOL_ODD_NUMBER_OF_ELECTRONS
2682,/home/shachar/repos/PorCrystalStructures/data/raw_xyz/xyz/porphyrins/LUTQAV_1.xyz,metal,NO_METAL
2683,/home/shachar/repos/PorCrystalStructures/data/raw_xyz/xyz/porphyrins/LUTQAV_2.xyz,metal,NO_METAL
2684,/home/shachar/repos/PorCrystalStructures/data/raw_xyz/xyz/porphyrins/LUTQID_0.xyz,topolocial,NOT_CONNECTED_MOLECULE
2685,/home/shachar/repos/PorCrystalStructures/data/raw_xyz/xyz/porphyrins/LUTQID_1.xyz,metal,NO_METAL
2686,/home/shachar/repos/PorCrystalStructures/data/raw_xyz/xyz/porphyrins/LUTQID_2.xyz,metal,NO_METAL
2687,/home/shachar/repos/PorCrystalStructures/data/raw_xyz/xyz/porphyrins/LUTQOJ_0.xyz,metal,NO_METAL
2688,/home/shachar/repos/PorCrystalStructures/data/raw_xyz/xyz/porphyrins/LUTQOJ_1.xyz,topolocial,NOT_CONNECTED_MOLECULE
2689,/home/shachar/repos/PorCrystalStructures/data/raw_xyz/xyz/porphyrins/LUTQOJ_2.xyz,metal,NO_METAL
2690,/home/shachar/repos/PorCrystalStructures/data/raw_xyz/xyz/porphyrins/LUTSAX_0.xyz,charge,MOL_ODD_NUMBER_OF_ELECTRONS
2691,/home/shachar/repos/PorCrystalStructures/data/raw_xyz/xyz/porphyrins/LUTSAX_1.xyz,metal,NO_METAL
2692,/home/shachar/repos/PorCrystalStructures/data/raw_xyz/xyz/porphyrins/LUTSAX_2.xyz,metal,NO_METAL
2693,/home/shachar/repos/PorCrystalStructures/data/raw_xyz/xyz/porphyrins/LUTSEB_0.xyz,charge,MOL_ODD_NUMBER_OF_ELECTRONS
2694,/home/shachar/repos/PorCrystalStructures/data/raw_xyz/xyz/porphyrins/LUTSEB_1.xyz,metal,NO_METAL
2695,/home/shachar/repos/PorCrystalStructures/data/raw_xyz/xyz/porphyrins/LUTSEB_2.xyz,metal,NO_METAL
2696,/home/shachar/repos/PorCrystalStructures/data/raw_xyz/xyz/porphyrins/LUTYII_0.xyz,topolocial,NOT_CONNECTED_MOLECULE
2697,/home/shachar/repos/PorCrystalStructures/data/raw_xyz/xyz/porphyrins/LUTYII_1.xyz,metal,NO_METAL
2698,/home/shachar/repos/PorCrystalStructures/data/raw_xyz/xyz/porphyrins/LUWHUG_0.xyz,topolocial,NOT_SATURATED
2699,/home/shachar/repos/PorCrystalStructures/data/raw_xyz/xyz/porphyrins/LUWHUG_1.xyz,metal,NO_METAL
2700,/home/shachar/repos/PorCrystalStructures/data/raw_xyz/xyz/porphyrins/LUWHUG_2.xyz,metal,NO_METAL
2701,/home/shachar/repos/PorCrystalStructures/data/raw_xyz/xyz/porphyrins/LUWJAO_0.xyz,topolocial,NOT_SATURATED
2702,/home/shachar/repos/PorCrystalStructures/data/raw_xyz/xyz/porphyrins/LUZXIN_0.xyz,metal,NO_METAL
2703,/home/shachar/repos/PorCrystalStructures/data/raw_xyz/xyz/porphyrins/LUZXIN_1.xyz,metal,NO_METAL
2704,/home/shachar/repos/PorCrystalStructures/data/raw_xyz/xyz/porphyrins/LUZXOT_0.xyz,topolocial,NOT_CONNECTED_MOLECULE
2705,/home/shachar/repos/PorCrystalStructures/data/raw_xyz/xyz/porphyrins/LUZYAG_0.xyz,topolocial,DOESNT_HAVE_METAL
