,Unnamed: 0,positive_current,negative_current,total_current,acid_sqrt(J^2),acid_current,width,height,bond_start,bond_end,mapped_bond_start,mapped_bond_end,sid
112,112,0.0,-35.40204,-35.40204,0.151078,4.257282,3.0,1.5,12,13,11,21,LODSEC
113,113,10.456437,-8.611688,1.844749,0.089718,2.528211,3.0,1.5,12,82,11,10,LODSEC
114,114,9.682359,-7.262228,2.420131,0.096997,2.733324,3.0,1.5,14,13,18,21,LODSEC
115,115,1.244789,-14.439883,-13.195094,0.069881,1.969201,3.0,1.5,27,14,17,18,LODSEC
116,116,10.431994,-8.482502,1.949492,0.088896,2.50503,3.0,1.5,30,14,19,18,LODSEC
117,117,1.507726,-13.741796,-12.23407,0.071608,2.017861,3.0,1.5,32,27,23,17,LODSEC
118,118,14.924921,-8.032384,6.892537,0.078639,2.216006,3.0,1.5,31,30,20,19,LODSEC
119,119,10.663395,-8.410234,2.25316,0.088114,2.482987,3.0,1.5,32,31,23,20,LODSEC
120,120,1.42112,-23.355593,-21.934473,0.111954,3.15481,3.0,1.5,23,24,22,1,LODSEC
121,121,3.607422,-27.915861,-24.308439,0.112557,3.171782,3.0,1.5,23,28,22,14,LODSEC
122,122,0.164157,-34.219479,-34.055323,0.160994,4.536712,3.0,1.5,34,23,24,22,LODSEC
123,123,0.017526,-34.676016,-34.65849,0.157464,4.43723,3.0,1.5,32,34,23,24,LODSEC
124,124,1.42528,-1.903898,-0.478618,0.031584,0.890023,3.0,1.5,1,28,-1,14,LODSEC
125,125,1.293321,-0.823582,0.469739,0.024651,0.694652,3.0,1.5,1,94,-1,16,LODSEC
126,126,2.147749,-1.194393,0.953357,0.032156,0.906139,3.0,1.5,27,1,17,-1,LODSEC
127,127,1.110134,-3.121085,-2.010951,0.01713,0.482726,3.0,1.5,95,1,9,-1,LODSEC
128,128,0.0,-12.310963,-12.310963,0.044774,1.261716,3.5,1.5,24,25,1,15,LODSEC
129,129,10.266644,-8.439471,1.827173,0.085375,2.405803,3.5,1.5,26,25,13,15,LODSEC
130,130,0.01112,-23.516921,-23.505801,0.121593,3.426427,3.5,1.5,26,87,13,12,LODSEC
131,131,3.630903,-26.983276,-23.352373,0.113634,3.202143,3.5,1.5,28,26,14,13,LODSEC
132,132,3.319304,-5.706841,-2.387537,0.055013,1.550228,3.5,1.5,62,87,5,12,LODSEC
133,133,11.627504,-8.667402,2.960102,0.08958,2.524316,3.5,1.5,63,62,3,5,LODSEC
134,134,3.474699,-25.642303,-22.167604,0.119601,3.370299,3.5,1.5,62,94,5,16,LODSEC
135,135,12.030114,-8.20719,3.822924,0.07573,2.134033,3.5,1.5,64,63,4,3,LODSEC
136,136,7.055341,-9.571752,-2.516411,0.092486,2.6062,3.5,1.5,64,65,4,2,LODSEC
137,137,4.040708,-4.284785,-0.244077,0.022928,0.64609,3.5,1.5,65,94,2,16,LODSEC
138,138,1.043814,-28.056193,-27.012379,0.115053,3.242117,3.5,1.5,65,66,2,6,LODSEC
139,139,2.791418,-7.426859,-4.635441,0.057072,1.608251,3.5,1.5,80,66,7,6,LODSEC
140,140,4.043395,-4.493336,-0.449941,0.022359,0.630063,3.5,1.5,95,80,9,7,LODSEC
141,141,4.025363,-10.36327,-6.337907,0.057465,1.619322,3.5,1.5,80,81,7,8,LODSEC
