,file,read,order,extract_mol,status
97,/home/shachar/repos/PorCrystalStructures/data/archive/ccdc_data/cif/porphyrins/ALIXOI.cif,0.6525824069976807,0.007364988327026367,,UNORDERED
98,/home/shachar/repos/PorCrystalStructures/data/archive/ccdc_data/cif/porphyrins/ALIZIE.cif,,,,
99,/home/shachar/repos/PorCrystalStructures/data/archive/ccdc_data/cif/porphyrins/ALEWUM.cif,0.5368704795837402,0.00029659271240234375,12.666123867034912,OK
100,/home/shachar/repos/PorCrystalStructures/data/archive/ccdc_data/cif/porphyrins/ALOCUA.cif,1.1204502582550049,0.018297672271728516,,UNORDERED
101,/home/shachar/repos/PorCrystalStructures/data/archive/ccdc_data/cif/porphyrins/ALOGAJ.cif,,,,
102,/home/shachar/repos/PorCrystalStructures/data/archive/ccdc_data/cif/porphyrins/ALOGEN.cif,,,,
103,/home/shachar/repos/PorCrystalStructures/data/archive/ccdc_data/cif/porphyrins/ALOKIV.cif,,,,
104,/home/shachar/repos/PorCrystalStructures/data/archive/ccdc_data/cif/porphyrins/ALOKOB.cif,,,,
105,/home/shachar/repos/PorCrystalStructures/data/archive/ccdc_data/cif/porphyrins/ALOKUH.cif,,,,
106,/home/shachar/repos/PorCrystalStructures/data/archive/ccdc_data/cif/porphyrins/AMABUN.cif,,,,
107,/home/shachar/repos/PorCrystalStructures/data/archive/ccdc_data/cif/porphyrins/AMACAU.cif,,,,
108,/home/shachar/repos/PorCrystalStructures/data/archive/ccdc_data/cif/porphyrins/AMAJII.cif,,,,
109,/home/shachar/repos/PorCrystalStructures/data/archive/ccdc_data/cif/porphyrins/AMAJOO.cif,,,,
110,/home/shachar/repos/PorCrystalStructures/data/archive/ccdc_data/cif/porphyrins/AMETOB.cif,,,,
111,/home/shachar/repos/PorCrystalStructures/data/archive/ccdc_data/cif/porphyrins/AMETUH.cif,,,,
112,/home/shachar/repos/PorCrystalStructures/data/archive/ccdc_data/cif/porphyrins/ANANEL.cif,0.6688699722290039,0.0008444786071777344,50.922422647476196,OK
113,/home/shachar/repos/PorCrystalStructures/data/archive/ccdc_data/cif/porphyrins/ANETAQ.cif,,,,
114,/home/shachar/repos/PorCrystalStructures/data/archive/ccdc_data/cif/porphyrins/ANETEU.cif,,,,
115,/home/shachar/repos/PorCrystalStructures/data/archive/ccdc_data/cif/porphyrins/ANETIY.cif,,,,
116,/home/shachar/repos/PorCrystalStructures/data/archive/ccdc_data/cif/porphyrins/ANETOE.cif,,,,
117,/home/shachar/repos/PorCrystalStructures/data/archive/ccdc_data/cif/porphyrins/AJARUB.cif,1.3579905033111572,0.0024003982543945312,,TIMEOUT
118,/home/shachar/repos/PorCrystalStructures/data/archive/ccdc_data/cif/porphyrins/AJEYUM.cif,1.5239379405975342,0.0010685920715332031,,TIMEOUT
119,/home/shachar/repos/PorCrystalStructures/data/archive/ccdc_data/cif/porphyrins/AKIDUV.cif,1.0339674949645996,0.0005297660827636719,,TIMEOUT
120,/home/shachar/repos/PorCrystalStructures/data/archive/ccdc_data/cif/porphyrins/ANOVIJ.cif,,,,
121,/home/shachar/repos/PorCrystalStructures/data/archive/ccdc_data/cif/porphyrins/ALALOQ.cif,0.5175998210906982,0.0001919269561767578,,TIMEOUT
122,/home/shachar/repos/PorCrystalStructures/data/archive/ccdc_data/cif/porphyrins/ANPRNA.cif,,,,
123,/home/shachar/repos/PorCrystalStructures/data/archive/ccdc_data/cif/porphyrins/ANOVOP.cif,0.5862789154052734,0.00107574462890625,,UNORDERED
124,/home/shachar/repos/PorCrystalStructures/data/archive/ccdc_data/cif/porphyrins/ANUWAK.cif,,,,
125,/home/shachar/repos/PorCrystalStructures/data/archive/ccdc_data/cif/porphyrins/ANUYOY.cif,,,,
126,/home/shachar/repos/PorCrystalStructures/data/archive/ccdc_data/cif/porphyrins/APANUC.cif,,,,
127,/home/shachar/repos/PorCrystalStructures/data/archive/ccdc_data/cif/porphyrins/APEQUJ.cif,,,,
128,/home/shachar/repos/PorCrystalStructures/data/archive/ccdc_data/cif/porphyrins/ALIZOK.cif,0.724909782409668,0.0006172657012939453,,TIMEOUT
129,/home/shachar/repos/PorCrystalStructures/data/archive/ccdc_data/cif/porphyrins/APEYOM.cif,,,,
130,/home/shachar/repos/PorCrystalStructures/data/archive/ccdc_data/cif/porphyrins/APEZAZ.cif,,,,
131,/home/shachar/repos/PorCrystalStructures/data/archive/ccdc_data/cif/porphyrins/APIXII.cif,,,,
132,/home/shachar/repos/PorCrystalStructures/data/archive/ccdc_data/cif/porphyrins/APEVAT.cif,0.9147343635559082,0.00029015541076660156,26.958834409713745,OK
